name,frame,ra,dec,band_idx,wavelength,receiver,flux_jy,uvmin_kl,uvmax_kl,cfg_A,cfg_B,cfg_C,cfg_D
0559+238,J2000,05h59m32.033133s,"23d53'53.926900""",4,0.7cm,Q,0.4,,,W,W,W,W
0603+177,J2000,06h03m09.130269s,"17d42'16.810700""",0,20cm,L,0.5,6.0,,S,S,S,C
0603+177,J2000,06h03m09.130269s,"17d42'16.810700""",1,6cm,C,0.46,,,S,S,S,S
0603+177,J2000,06h03m09.130269s,"17d42'16.810700""",2,3.7cm,X,0.43,,,S,S,S,S
0603+177,J2000,06h03m09.130269s,"17d42'16.810700""",3,2cm,U,0.4,,,W,W,W,W
0603+177,J2000,06h03m09.130269s,"17d42'16.810700""",4,0.7cm,Q,0.2,,,W,W,W,W
0603+219,J2000,06h03m51.557091s,"21d59'37.697500""",0,90cm,P,7.0,2.0,8.0,X,S,S,X
0603+219,J2000,06h03m51.557091s,"21d59'37.697500""",1,20cm,L,2.75,,8.0,X,X,P,P
0603+219,J2000,06h03m51.557091s,"21d59'37.697500""",2,0.7cm,Q,0.16,,,X,X,X,X
0604-424,J2000,06h04m25.1779s,"-42d25'29.593""",0,20cm,L,0.27,45.0,,S,X,X,X
0604-424,J2000,06h04m25.1779s,"-42d25'29.593""",1,6cm,C,0.69,,,S,S,S,S
0604-424,J2000,06h04m25.1779s,"-42d25'29.593""",2,3.7cm,X,0.58,,,P,P,P,P
0604-424,J2000,06h04m25.1779s,"-42d25'29.593""",3,2cm,U,0.8,,,S,S,S,S
0604-424,J2000,06h04m25.1779s,"-42d25'29.593""",4,0.7cm,Q,0.32,,,W,W,W,W
0604+203,J2000,06h04m28.6695s,"20d21'22.232""",0,90cm,P,9.0,1.0,15.0,S,S,S,X
0604+203,J2000,06h04m28.6695s,"20d21'22.232""",1,20cm,L,1.6,,10.0,X,X,S,S
0604+203,J2000,06h04m28.6695s,"20d21'22.232""",2,6cm,C,0.32,,10.0,X,X,X,S
