name,frame,ra,dec,band_idx,wavelength,receiver,flux_jy,uvmin_kl,uvmax_kl,cfg_A,cfg_B,cfg_C,cfg_D
0502+416,J2000,05h02m37.9877s,"41d39'19.337""",1,3.7cm,X,0.8,,,S,S,,
0502+416,J2000,05h02m37.9877s,"41d39'19.337""",2,1.3cm,K,0.7,,,S,S,S,S
0502+416,J2000,05h02m37.9877s,"41d39'19.337""",3,0.7cm,Q,0.6,,,W,W,W,W
0502+252,J2000,05h02m58.5826s,"25d16'24.242""",0,90cm,P,18.0,,2.0,X,X,S,S
0502+252,J2000,05h02m58.5826s,"25d16'24.242""",1,20cm,L,5.4,,2.0,X,X,X,S
0503+020,J2000,05h03m21.197177s,"02d03'04.676380""",0,20cm,L,2.4,,,P,P,P,P
0503+020,J2000,05h03m21.197177s,"02d03'04.676380""",1,6cm,C,1.95,,,P,P,P,P
0503+020,J2000,05h03m21.197177s,"02d03'04.676380""",2,3.7cm,X,1.53,,,P,P,P,P
0503+020,J2000,05h03m21.197177s,"02d03'04.676380""",3,2cm,U,1.1,,,P,P,P,P
0503+020,J2000,05h03m21.197177s,"02d03'04.676380""",4,0.7cm,Q,0.3,,,W,W,W,W
0503+444,J2000,05h03m50.2143s,"44d24'39.499""",0,3.7cm,X,0.4,,,S,S,S,S
0505+049,J2000,05h05m23.184723s,"04d59'42.724480""",0,20cm,L,0.62,30.0,,S,X,X,X
0505+049,J2000,05h05m23.184723s,"04d59'42.724480""",1,6cm,C,0.67,30.0,,S,S,X,X
0505+049,J2000,05h05m23.184723s,"04d59'42.724480""",2,3.7cm,X,0.64,,,S,S,S,S
0505+049,J2000,05h05m23.184723s,"04d59'42.724480""",3,2cm,U,0.5,,,S,S,S,S
0505+049,J2000,05h05m23.184723s,"04d59'42.724480""",4,0.7cm,Q,0.5,,,W,W,W,W
0507+467,J2000,05h07m23.6580s,"46d45'42.349""",0,0.7cm,Q,0.22,,,W,W,W,W
0508+845,J2000,05h08m42.363503s,"84d32'04.544020""",0,20cm,L,0.75,6.0,,S,S,S,X
0508+845,J2000,05h08m42.363503s,"84d32'04.544020""",1,6cm,C,1.15,,,P,P,P,P
0508+845,J2000,05h08m42.363503s,"84d32'04.544020""",2,3.7cm,X,0.38,,,S,S,S,S
0508+845,J2000,05h08m42.363503s,"84d32'04.544020""",3,2cm,U,0.3,,,S,S,S,S
0508+845,J2000,05h08m42.363503s,"84d32'04.544020""",4,0.7cm,Q,0.2,,,W,W,W,W
0509+354,J2000,05h09m05.8451s,"35d28'17.289""",0,0.7cm,Q,0.12,,,W,W,W,W
0509+056,J2000,05h09m25.964466s,"05d41'35.333530""",0,2cm,U,0.7,,,S,S,S,S
0509+056,J2000,05h09m25.964466s,"05d41'35.333530""",1,0.7cm,Q,0.5,,,W,W,W,W
0509+101,J2000,05h09m27.457077s,"10d11'44.600160""",0,20cm,L,0.5,30.0,,S,X,X,X
0509+101,J2000,05h09m27.457077s,"10d11'44.600160""",1,6cm,C,0.5,,,S,S,S,S
0509+101,J2000,05h09m27.457077s,"10d11'44.600160""",2,3.7cm,X,0.45,,,S,S,S,S
0509+101,J2000,05h09m27.457077s,"10d11'44.600160""",3,2cm,U,0.7,,,S,S,S,S
0509+101,J2000,05h09m27.457077s,"10d11'44.600160""",4,0.7cm,Q,0.7,,,W,W,W,W
0510+180,J2000,05h10m02.369122s,"18d00'41.581710""",0,20cm,L,0.75,10.0,,S,S,X,X
0510+180,J2000,05h10m02.369122s,"18d00'41.581710""",1,6cm,C,0.7,,,S,S,S,S
0510+180,J2000,05h10m02.369122s,"18d00'41.581710""",2,3.7cm,X,0.82,,,P,P,P,P
0510+180,J2000,05h10m02.369122s,"18d00'41.581710""",3,2cm,U,1.0,,,P,P,P,P
0510+180,J2000,05h10m02.369122s,"18d00'41.581710""",4,0.7cm,Q,1.0,,,W,W,W,W
0511+139,J2000,05h11m38.319662s,"13d57'19.193380""",0,0.7cm,Q,0.29,,,W,W,W,W
0511+011,J2000,05h11m57.612491s,"01d10'49.435480""",0,0.7cm,Q,0.19,,,W,W,W,W
0512+152,J2000,05h12m41.012900s,"15d17'23.479270""",0,20cm,L,0.76,,,X,X,X,X
0512+152,J2000,05h12m41.012900s,"15d17'23.479270""",1,6cm,C,0.94,,,S,S,S,S
0512+152,J2000,05h12m41.012900s,"15d17'23.479270""",2,3.7cm,X,0.68,,,P,P,P,P
0512+152,J2000,05h12m41.012900s,"15d17'23.479270""",3,2cm,U,0.7,,,S,S,S,S
0512+152,J2000,05h12m41.012900s,"15d17'23.479270""",4,0.7cm,Q,0.3,,,W,W,W,W
0512+406,J2000,05h12m52.5440s,"40d41'43.603""",0,3.7cm,X,1.1,,,P,P,P,P
0513+010,J2000,05h13m40.032514s,"01d00'21.654410""",0,0.7cm,Q,0.17,,,W,W,W,W
0513-219,J2000,05h13m49.114326s,"-21d59'16.092020""",0,20cm,L,0.62,,,X,X,X,X
0513-219,J2000,05h13m49.114326s,"-21d59'16.092020""",1,6cm,C,1.0,,,S,S,S,S
0513-219,J2000,05h13m49.114326s,"-21d59'16.092020""",2,3.7cm,X,1.1,,,P,P,P,P
0513-219,J2000,05h13m49.114326s,"-21d59'16.092020""",3,2cm,U,1.0,,,P,P,P,P
0513-219,J2000,05h13m49.114326s,"-21d59'16.092020""",4,0.7cm,Q,0.5,,,W,W,W,W
0514+560,J2000,05h14m18.6997s,"56d02'11.058""",0,0.7cm,Q,0.12,,,W,W,W,W
0516-160,J2000,05h16m15.929354s,"-16d03'07.634560""",0,20cm,L,0.0,,,X,X,X,X
0516-160,J2000,05h16m15.929354s,"-16d03'07.634560""",1,6cm,C,0.83,150.0,,S,X,X,X
0516-160,J2000,05h16m15.929354s,"-16d03'07.634560""",2,3.7cm,X,0.5,,300.0,S,S,X,X
0516-160,J2000,05h16m15.929354s,"-16d03'07.634560""",3,2cm,U,0.4,,,S,S,S,X
0516-160,J2000,05h16m15.929354s,"-16d03'07.634560""",4,0.7cm,Q,0.2,,,W,W,W,W
0517+456,J2000,05h17m28.8994s,"45d37'04.871""",0,0.7cm,Q,0.19,,,W,W,W,W
0517+068,J2000,05h17m51.344149s,"06d48'03.210710""",0,2cm,U,0.5,,,S,S,S,S
0517+068,J2000,05h17m51.344149s,"06d48'03.210710""",1,0.7cm,Q,0.2,,,W,W,W,W
0518+209,J2000,05h18m03.824489s,"20d54'52.497150""",0,0.7cm,Q,0.16,,,W,W,W,W
0518+331,J2000,05h18m05.1438s,"33d06'13.369""",0,0.7cm,Q,0.19,,,X,W,W,W
0518+475,J2000,05h18m12.0899s,"47d30'55.536""",0,0.7cm,Q,0.1,,,W,W,W,W
0519+088,J2000,05h19m10.8113s,"08d48'56.717""",0,0.7cm,Q,0.4,,,W,W,W,W
0519+277,J2000,05h19m33.0246s,"27d44'04.267""",0,0.7cm,Q,0.1,,,W,W,W,W
0520+454,J2000,05h20m47.5200s,"45d28'34.952""",0,20cm,L,1.26,,15.0,X,X,S,S
0520+454,J2000,05h20m47.5200s,"45d28'34.952""",1,6cm,C,0.5,,15.0,X,X,X,S
0521+166,J2000,05h21m09.886021s,"16d38'22.051220""",0,90cm,P,17.5,,,S,S,S,S
0521+166,J2000,05h21m09.886021s,"16d38'22.051220""",1,20cm,L,8.47,,45.0,X,S,P,P
0521+166,J2000,05h21m09.886021s,"16d38'22.051220""",2,6cm,C,3.78,,45.0,X,X,S,P
0521+166,J2000,05h21m09.886021s,"16d38'22.051220""",3,3.7cm,X,2.52,,45.0,X,X,S,S
0521+166,J2000,05h21m09.886021s,"16d38'22.051220""",4,2cm,U,1.56,,45.0,X,X,X,S
0521+166,J2000,05h21m09.886021s,"16d38'22.051220""",5,0.7cm,Q,0.4,,,X,X,,
0521-207,J2000,05h21m38.8950s,"-20d47'39.388""",0,90cm,P,8.0,,20.0,S,S,S,S
0521-207,J2000,05h21m38.8950s,"-20d47'39.388""",1,20cm,L,1.8,,20.0,X,X,S,S
0521+212,J2000,05h21m45.965828s,"21d12'51.451360""",0,0.7cm,Q,0.21,,,W,W,W,W
0522+012,J2000,05h22m17.467439s,"01d13'31.186300""",0,20cm,L,0.68,60.0,,S,X,X,X
0522+012,J2000,05h22m17.467439s,"01d13'31.186300""",1,6cm,C,0.44,,,S,S,S,S
0522+012,J2000,05h22m17.467439s,"01d13'31.186300""",2,3.7cm,X,0.4,,,S,S,S,S
0522+012,J2000,05h22m17.467439s,"01d13'31.186300""",3,0.7cm,Q,0.2,,,W,W,W,W
0522-364,J2000,05h22m57.984651s,"-36d27'30.850920""",0,90cm,P,42.0,,3.0,X,X,S,S
0522-364,J2000,05h22m57.984651s,"-36d27'30.850920""",1,20cm,L,16.0,,,X,X,X,X
0522-364,J2000,05h22m57.984651s,"-36d27'30.850920""",2,3.7cm,X,5.0,,,X,X,X,X
0522-364,J2000,05h22m57.984651s,"-36d27'30.850920""",3,0.7cm,Q,3.7,,,S,S,S,X
0524+705,J2000,05h24m13.4334s,"70d34'52.919""",0,0.7cm,Q,0.17,,,W,W,W,W
0527+035,J2000,05h27m32.705431s,"03d31'31.516650""",0,20cm,L,0.45,6.0,,W,W,W,C
0527+035,J2000,05h27m32.705431s,"03d31'31.516650""",1,6cm,C,0.4,,,W,W,W,W
0527+035,J2000,05h27m32.705431s,"03d31'31.516650""",2,3.7cm,X,0.4,,,S,S,S,S
0527+035,J2000,05h27m32.705431s,"03d31'31.516650""",3,2cm,U,0.4,,,W,W,W,W
0527+035,J2000,05h27m32.705431s,"03d31'31.516650""",4,0.7cm,Q,0.2,,,W,W,W,W
0530-250,J2000,05h30m07.962795s,"-25d03'29.899590""",0,20cm,L,1.3,4.0,,P,P,S,X
0530-250,J2000,05h30m07.962795s,"-25d03'29.899590""",1,6cm,C,0.94,,,P,P,P,P
0530-250,J2000,05h30m07.962795s,"-25d03'29.899590""",2,3.7cm,X,0.68,,,P,P,P,P
0530-250,J2000,05h30m07.962795s,"-25d03'29.899590""",3,2cm,U,0.55,,,S,S,S,S
0530-250,J2000,05h30m07.962795s,"-25d03'29.899590""",4,0.7cm,Q,0.2,,,W,W,W,W
0530+135,J2000,05h30m56.416744s,"13d31'55.149550""",0,20cm,L,1.67,,,S,S,S,S
0530+135,J2000,05h30m56.416744s,"13d31'55.149550""",1,6cm,C,4.3,,,P,P,P,P
0530+135,J2000,05h30m56.416744s,"13d31'55.149550""",2,3.7cm,X,2.48,,,P,P,P,P
0530+135,J2000,05h30m56.416744s,"13d31'55.149550""",3,2cm,U,3.2,,,P,P,P,P
0530+135,J2000,05h30m56.416744s,"13d31'55.149550""",4,0.7cm,Q,2.3,,,S,S,S,S
0532+075,J2000,05h32m38.998531s,"07d32'43.345860""",0,20cm,L,2.3,,,S,S,S,S
0532+075,J2000,05h32m38.998531s,"07d32'43.345860""",1,6cm,C,2.3,,,P,P,P,P
0532+075,J2000,05h32m38.998531s,"07d32'43.345860""",2,3.7cm,X,2.08,,,P,P,P,P
0532+075,J2000,05h32m38.998531s,"07d32'43.345860""",3,2cm,U,2.2,,,P,P,P,P
0532+075,J2000,05h32m38.998531s,"07d32'43.345860""",4,0.7cm,Q,4.2,,,S,S,S,S
0533+483,J2000,05h33m15.865786s,"48d22'52.807840""",0,2cm,U,0.6,,,W,W,W,W
0533+483,J2000,05h33m15.865786s,"48d22'52.807840""",1,0.7cm,Q,0.5,,,W,W,W,W
0534+194,J2000,05h34m44.5183s,"19d27'21.378""",0,90cm,P,15.0,2.0,,S,S,S,X
0534+194,J2000,05h34m44.5183s,"19d27'21.378""",1,20cm,L,6.8,,50.0,X,S,P,P
0534+194,J2000,05h34m44.5183s,"19d27'21.378""",2,6cm,C,2.5,,50.0,X,X,S,P
0534+194,J2000,05h34m44.5183s,"19d27'21.378""",3,2cm,U,0.9,,50.0,X,X,X,S
0534+194,J2000,05h34m44.5183s,"19d27'21.378""",4,0.7cm,Q,0.0,,,X,X,X,X
0535+391,J2000,05h35m55.1180s,"39d10'58.397""",0,0.7cm,Q,0.12,,,W,W,W,W
0536+506,J2000,05h36m20.231904s,"50d38'26.251560""",0,2cm,U,0.6,,,S,S,S,S
0536+506,J2000,05h36m20.231904s,"50d38'26.251560""",1,0.7cm,Q,0.2,,,W,W,W,W
0536-340,J2000,05h36m28.4383s,"-34d01'11.381""",0,20cm,L,0.45,,,S,S,X,X
0536-340,J2000,05h36m28.4383s,"-34d01'11.381""",1,6cm,C,0.62,,,P,P,S,S
0536-340,J2000,05h36m28.4383s,"-34d01'11.381""",2,3.7cm,X,1.0,,,P,P,P,P
0536-340,J2000,05h36m28.4383s,"-34d01'11.381""",3,2cm,U,0.8,,,S,S,S,S
0536-340,J2000,05h36m28.4383s,"-34d01'11.381""",4,0.7cm,Q,0.5,,,W,W,W,W
0537+446,J2000,05h37m30.0630s,"44d41'03.533""",0,0.7cm,Q,0.11,,,W,W,W,W
0538-440,J2000,05h38m50.361551s,"-44d05'08.939080""",0,20cm,L,3.8,,,P,P,P,P
0538-440,J2000,05h38m50.361551s,"-44d05'08.939080""",1,6cm,C,3.4,,,P,P,P,P
0538-440,J2000,05h38m50.361551s,"-44d05'08.939080""",2,3.7cm,X,4.2,,,P,P,P,P
0538-440,J2000,05h38m50.361551s,"-44d05'08.939080""",3,2cm,U,4.5,,,P,P,P,P
0538-440,J2000,05h38m50.361551s,"-44d05'08.939080""",4,0.7cm,Q,3.0,,,S,S,S,S
0539-158,J2000,05h39m32.010154s,"-15d50'30.321260""",0,20cm,L,0.6,,,X,X,X,X
0539-158,J2000,05h39m32.010154s,"-15d50'30.321260""",1,6cm,C,0.5,,200.0,S,S,S,S
0539-158,J2000,05h39m32.010154s,"-15d50'30.321260""",2,3.7cm,X,0.35,,,S,S,S,S
0539+145,J2000,05h39m42.365999s,"14d33'45.561900""",0,20cm,L,0.52,10.0,,S,S,S,C
0539+145,J2000,05h39m42.365999s,"14d33'45.561900""",1,6cm,C,0.38,,,W,W,W,W
0539+145,J2000,05h39m42.365999s,"14d33'45.561900""",2,3.7cm,X,0.39,,,S,S,S,S
0539+145,J2000,05h39m42.365999s,"14d33'45.561900""",3,2cm,U,0.5,,,S,S,S,S
0539+145,J2000,05h39m42.365999s,"14d33'45.561900""",4,0.7cm,Q,1.5,,,S,S,S,S
0539-286,J2000,05h39m54.281429s,"-28d39'55.947450""",0,20cm,L,0.8,60.0,,S,X,X,X
0539-286,J2000,05h39m54.281429s,"-28d39'55.947450""",1,6cm,C,1.2,,,P,P,P,P
0539-286,J2000,05h39m54.281429s,"-28d39'55.947450""",2,3.7cm,X,0.76,,,P,P,P,P
0539-286,J2000,05h39m54.281429s,"-28d39'55.947450""",3,2cm,U,0.9,,,S,S,S,S
0539-286,J2000,05h39m54.281429s,"-28d39'55.947450""",4,0.7cm,Q,0.5,,,W,W,W,W
0541+532,J2000,05h41m16.174035s,"53d12'24.834150""",0,20cm,L,0.72,60.0,,S,X,X,X
0541+532,J2000,05h41m16.174035s,"53d12'24.834150""",1,6cm,C,0.8,,,P,P,S,S
0541+532,J2000,05h41m16.174035s,"53d12'24.834150""",2,3.7cm,X,0.8,,,P,P,P,P
0541+532,J2000,05h41m16.174035s,"53d12'24.834150""",3,2cm,U,0.5,,,S,S,S,S
0541+532,J2000,05h41m16.174035s,"53d12'24.834150""",4,0.7cm,Q,0.15,,,W,W,W,W
0541-056,J2000,05h41m38.083384s,"-05d41'49.428390""",0,20cm,L,1.05,,,S,S,S,S
0541-056,J2000,05h41m38.083384s,"-05d41'49.428390""",1,6cm,C,1.25,,,P,P,P,P
0541-056,J2000,05h41m38.083384s,"-05d41'49.428390""",2,3.7cm,X,0.98,,,P,P,P,P
0541-056,J2000,05h41m38.083384s,"-05d41'49.428390""",3,2cm,U,1.3,,,P,P,P,P
0541-056,J2000,05h41m38.083384s,"-05d41'49.428390""",4,0.7cm,Q,0.7,,,W,W,W,W
0541+474,J2000,05h41m49.245491s,"47d29'07.611170""",0,90cm,P,7.0,1.0,4.0,X,S,S,X
0541+474,J2000,05h41m49.245491s,"47d29'07.611170""",1,20cm,L,1.8,,3.0,X,X,X,S
0541+474,J2000,05h41m49.245491s,"47d29'07.611170""",2,0.7cm,Q,0.2,,,W,W,W,W
0542+498,J2000,05h42m36.137916s,"49d51'07.233560""",0,90cm,P,52.3,,,S,S,S,S
0542+498,J2000,05h42m36.137916s,"49d51'07.233560""",1,20cm,L,22.5,,50.0,X,S,P,P
0542+498,J2000,05h42m36.137916s,"49d51'07.233560""",2,6cm,C,7.94,,50.0,X,X,S,P
0542+498,J2000,05h42m36.137916s,"49d51'07.233560""",3,3.7cm,X,4.84,,50.0,X,X,S,P
0542+498,J2000,05h42m36.137916s,"49d51'07.233560""",4,2cm,U,2.78,,50.0,X,X,X,S
0542+498,J2000,05h42m36.137916s,"49d51'07.233560""",5,0.7cm,Q,0.91,,,X,,,
0543+826,J2000,05h43m38.8425s,"82d38'28.741""",0,0.7cm,Q,0.16,,,W,W,W,W
0544+113,J2000,05h44m52.1995s,"11d18'49.909""",0,0.7cm,Q,0.14,,,W,W,W,W
0550+234,J2000,05h50m47.3789s,"23d26'48.178""",0,3.7cm,X,0.24,,,,,S,S
0550+234,J2000,05h50m47.3789s,"23d26'48.178""",1,0.7cm,Q,0.26,,,W,W,W,W
0551+084,J2000,05h51m11.2291s,"08d29'11.210""",0,0.7cm,Q,0.15,,,W,W,W,W
0552+032,J2000,05h52m50.101478s,"03d13'27.243150""",0,20cm,L,0.52,12.0,,S,S,X,X
0552+032,J2000,05h52m50.101478s,"03d13'27.243150""",1,6cm,C,0.78,,,P,P,P,P
